Nodo: 0, Fecha: 2025-1-7, Hora: 13:12, Datos: 28.00, 72.00, 148, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 13:17, Datos: 28.30, 71.00, 927, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 13:22, Datos: 28.40, 71.00, 163, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 13:27, Datos: 28.30, 71.00, 194, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 13:32, Datos: 28.00, 73.00, 342, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 13:37, Datos: 28.00, 73.00, 435, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 13:42, Datos: 28.30, 72.00, 231, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 13:47, Datos: 28.30, 72.00, 745, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 13:52, Datos: 28.70, 71.00, 798, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 13:57, Datos: 28.30, 73.00, 112, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 14:02, Datos: 28.20, 73.00, 235, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 14:07, Datos: 28.30, 73.00, 1276, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 14:12, Datos: 28.60, 72.00, 950, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 14:17, Datos: 28.60, 72.00, 492, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 14:22, Datos: 28.40, 73.00, 511, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 14:27, Datos: 28.60, 72.00, 179, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 14:32, Datos: 28.50, 73.00, 70, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 14:37, Datos: 28.90, 71.00, 902, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 14:42, Datos: 29.00, 71.00, 116, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 14:47, Datos: 28.90, 71.00, 462, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 14:52, Datos: 28.90, 72.00, 439, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 14:57, Datos: 29.00, 72.00, 307, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 15:02, Datos: 28.90, 72.00, 496, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 15:07, Datos: 28.70, 73.00, 86, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 15:12, Datos: 28.80, 73.00, 205, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 15:17, Datos: 28.90, 72.00, 131, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 15:22, Datos: 28.60, 73.00, 99, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 15:27, Datos: 28.60, 73.00, 675, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 15:32, Datos: 28.60, 73.00, 730, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 15:37, Datos: 28.60, 73.00, 782, 1000
Nodo: 0, Fecha: 2025-1-7, Hora: 15:42, Datos: 28.60, 73.00, 95, 1000
Nodo: 0, Fecha: 2025-1-7, Hora: 15:47, Datos: 28.70, 72.00, 250, 1000
Nodo: 0, Fecha: 2025-1-7, Hora: 15:52, Datos: 28.70, 72.00, 589, 1000
Nodo: 0, Fecha: 2025-1-7, Hora: 15:57, Datos: 28.70, 73.00, 244, 1000
Nodo: 0, Fecha: 2025-1-7, Hora: 16:02, Datos: 28.70, 73.00, 623, 1000
Nodo: 0, Fecha: 2025-1-7, Hora: 16:07, Datos: 28.70, 73.00, 191, 1000
Nodo: 0, Fecha: 2025-1-7, Hora: 22:17, Datos: 28.80, 74.00, 0, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 22:22, Datos: 28.80, 74.00, 155, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 22:27, Datos: 28.70, 73.00, 409, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 22:32, Datos: 28.60, 73.00, 464, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 22:36, Datos: 28.60, 72.00, 1, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 22:41, Datos: 28.40, 73.00, 119, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 22:46, Datos: 28.60, 73.00, 0, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 22:51, Datos: 28.40, 74.00, 400, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 22:56, Datos: 28.40, 74.00, 558, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 23:07, Datos: 28.20, 75.00, 0, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 23:12, Datos: 28.10, 75.00, 176, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 23:22, Datos: 28.20, 74.00, 351, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 23:27, Datos: 28.10, 74.00, 626, 4095
Nodo: 0, Fecha: 2025-1-7, Hora: 23:32, Datos: 28.10, 74.00, 550, 4095
